ID,Herausforderungsvorschlag,Rahmenbedingungen,Zielgruppe,Sektor,Eingereicht von,Bundesland,PLZ,Kontakt anfragen,,
100535,"Wie können wir verhindern, dass junge Erwachsene in der häufig krisenhaften Phase der Berufs- und Lebensorientierung  psychische Erkrankungen entwickeln? Wie können bestehende präventive Programmme sichtbarer werden und Finanzierung erhalten?","Laut Barmer Arztreport erhalten derzeit 25% aller 18- bis 25-Jährigen in Deutschland die Diagnose einer psychischen Erkrankung, Tendenz steigend. Meist handelt es sich um Depressionen und Ängste. Ein Ansatz wären beispielsweise Orientierungsangebote im ""Gap Year"" nach Schulabschluss, in denen junge Menschen für einige Zeit gemeinschaftlich leben und in ihrer Resilienz gefördert werden.",Junge Erwachsene,"Zivilgesellschaft, inkl. sozialer Sektor",Bachelor of Being - Das Orientierungssemester,Hessen,34119,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100535,,
100421,"Wie können wir den Tourismus in kleinen und mittelgroßen Gemeinden nach der Krise wieder in Fahrt bringen und entstandene Leerräume (Pensionen, Angebote) vermeiden bzw. ausfüllen.","Durch lokales Pensionensterben, gestaltet sich der Tourismus nach der Krise schwierig.","Tourist*innen, Pensionsinhaber*innen",Verwaltung & Politik – Kommunen,Bad Schönborn,Baden-Württemberg,76669,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100421,,
100329,"Wie können wir alle Offliner (12 Mio. gesamt, davon 9 Mio 60 Jahre und älter) auf dem Weg in die digitale Gesellschaft mitnehmen.","Es gibt auf Bundes- und Länderebene viele geförderte Projekte, die sich dem Thema widmen, z.B. digital-kompass.de. Es gibt viele gute Praxisbeispiele, aber zu viele Parallelstrukturen, statt die guten Ansätze miteinander zu teilen und miteinander zu verzahnen, zu vernetzen. Es gibt bundesweit ca. 600 kleiner Initiativen, die Ältere auf dem Weg in die digitale Welt unterstützen. Deutschlandweit ist keine flächendeckende Versorgung vorhanden.","Seniorinnen und Senioren, die noch nicht in der digitalen Welt angekommen sind.","Zivilgesellschaft, inkl. sozialer Sektor",BAGSO - Bundesarbeitsgemeinschaft der Seniorenorganisationen e.V.,Nordrhein-Westfalen,53111,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100329,,
100424,"Wie können wir in der Gesellschaft zu einem faktenbasierten, wertschätzenden Diskurs zurückfinden, der sich gesellschaftlichen Fragen nicht problem- sondern lösungsorientiert nähert? Die Diskussion über die Herausforderungen der Landwirtschaft ist hier das konkrete Beispiel.","Der öffentliche Diskurs wird härter. Personen mit anderen Meinungen werden zunehmend persönlich diskreditiert. Wir brauchen wieder mehr Akzeptanz und ein Zurück zu einem faktenbasierten, um Ausgleich bemühten Diskurs. Konflikte müssen aufgelöst und gemeinsam Lösungen erdacht und gelebt werden. Fehler sind dabei ein Schritt auf dem Weg zu einer Problemlösung und müssen wieder als solche wahrgenommen werden. Am Ende muss es gelungen sein, eine Gemeinschaft geschaffen zu haben.
Beispiel: die Konkurrenzfähigkeit deutscher Landwirtschaft im Spannungsfeld von Weltmarkt und zunehmender staatlicher Reglementierung und gesellschaftlicher Anforderungen.",,Verwaltung & Politik – Länder,Bauernverband Schleswig-Holstein,Schleswig-Holstein,24768,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100424,,
100722,Wie können wir jährlich handhabbar die Beteiligung von Geflüchteten in der Berliner Verwaltung messen?,,Berliner Verwaltung und indirekt geflüchtete Menschen,Verwaltung & Politik – Länder,Beauftragte des Senats von Berlin für Integration und Migration,Berlin,10785,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100722,,
100735,Wie können wir eine möglichst umfassende Onlineplattform für die Anmietung von Veranstaltungsräumen in Hamburg etablieren?,,Freie Kulturschaffende,Verwaltung & Politik – Länder,Behörde für Kultur und Medien Hamburg,Hamburg,20354,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100735,,
100431,"Wie können wir die Rahmenbedingungen für einen nachschulischen Freiwilligendienst so verbessern, dass sich alle interessierten Menschen ab 16 Jahren - unabhängig von ihrer Herkunft - dafür entscheiden und so zum Zusammenhalt in Deutschland, Europa und der Welt beitragen können?","Zurzeit leisten jährlich nur ca. 10 Prozent der Schulabgänger:innen ein freiwilliges Dienstjahr. Die Bereitschaft dazu ist aber wesentlich höher (Jugend-Hearing der DKJS 2020: 60 Prozent bei Engagierten, 48 Prozent bei Nicht-Engagierten). Die Gründe für diese ""Lücke"" sind vielfältig: die Angebotslandschaft ist unübersichtlich, Schulen informieren/motivieren bisher kaum, viele Angebote sind erst ab 18 Jahren, also nicht für Absolvent:innen von Haupt-, Sekundar- oder Realschulen. Für Dienste im (europäischen) Ausland gibt es nur wenige Angebote, davon viele mit unattraktiven Bedingungen. Auffällig ist eine soziale Schieflage: jungen Menschen aus benachteiligten Familien - davon viele mit Migrationshintergrund - sind bei den Freiwilligen bisher unterrepräsentiert.","Direkt: Schulabgänger:innen ab 16, indirekt. Organisationen, die Freiwilligendienste anbieten (wollen). Die Lösungen für geeignete Rahmenbedingungen richten sich an Verantwortliche in Politik und Verwaltung.","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100431,,
100335,"Wie können wir zusammen mit jungen Menschen, zivilgesellschaftlichen Initiativen und politischen Meinungsführer:innen im Vorfeld der Bundestagswahl eine wirkungsvolle multimediale Kampagne für die Absenkung des Wahlalters auf 16 Jahre initiieren?","Jugendliche können erst mit 18 Jahren an Bundestagswahlen teilnehmen. Viele junge Menschen fühlen sich von der Politik nicht ausreichend beteiligt und fordern ein Wahlrecht ab 16. Bereits seit den 1990er Jahren gibt es Vorstöße, das Wahlalter abzusenken – bislang auf Bundesebene ohne Erfolg. Die Gegenargumente, z.B. fehlende Reife, mangelndes Politikinteresse der Jugendlichen und Neigung zu extremen politischen Parteien, halten einer empirischen Überprüfung nicht stand. Belegt aber ist, dass die Möglichkeit der frühen Wahlbeteiligung das Politikinteresse und die Bereitschaft stärkt, auch künftig an Wahlen teilzunehmen. Es ist Zeit, das Thema erneut auf die politische Agenda zu setzen, um zu erreichen, dass in der nächsten Legislaturperiode das Wahlalter auf 16 Jahre abgesenkt wird.","Betroffen sind nicht wahlberechtigte Jugendliche. Zielgruppe des Lösungsansatzes sind junge Menschen im Alter von 12 bis 18 Jahren, zivilgesellschaftliche Organisationen und Initiativen, in denen sie sich engagieren sowie politische Meinungsführer:innen.","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100335,,
100617,"Wie können wir bessere Möglichkeiten schaffen, dass Menschen aller Gruppen Politik digital mitgestalten und wie können digitale Formate aussehen, die es Bürgern erlauben sich aktiv miteinander und den Themen auseinanderzusetzen, um gemeinsam Lösungen zu entwickeln.","Digitale Bürgerbeteiligung in Deutschland steckt noch weitestgehend in den Kinderschuhen. Erste Versuche fanden jedoch schon statt. So haben Städte wie Würzburg und Detmold Erfahrungen mit der Online Beteiligungsplattform „Consul“ sammeln können und ein erster bundesweiter weitestgehend digitaler Bürgerrat zu Deutschlands Rolle in der Welt wurde durchgeführt. Keine dieser Instrumente konnten sich jedoch bis jetzt bundesweit durchsetzen. Andere Länder, wie Taiwan und Estland, sind Deutschland sowohl in Sachen digitaler Beteiligung der eigenen Bürger als auch der Umsetzung und Wirkung digitaler Bürgerbeteiligung, um einiges voraus.","Alle Bürger über 16, jedoch nicht nur die „üblichen Verdächtigen“ (digital affin, gut ausgebildet, bereits politisch aktiv), sondern auch solche welche unter normalen Bedingungen nicht partizipieren würden.","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100617,,
100393,"Wie können wir die Gründungslücke im universitären Umfeld überwinden, sodass an Hochschulen mehr Innovationen mit gesellschaftlicher Relevanz entstehen und in die Anwendung gebracht werden können?","In Deutschland gibt es im universitären Umfeld eine Gründungslücke: Zu wenige der Forschungsergebnisse werden durch Startups in die kommerzielle Anwendung gebracht. Das gilt besonders für Innovationen mit gesellschaftlicher Relevanz (Impact-Gründungen) und im Hochtechnologie-Bereich. Hindernisse sind dabei u.a. starre Karrierewege für Wissenschaftler:innen; fehlende Unterstützung von Machbarkeitsstudien; Beschränkungen/Inflexibilität bei der Förderung bestimmter Gründungsformen (z.B. bei Kooperationen mit Unternehmen); fehlende Gründungskompetenzen bei Wissenschaftler:innen mit Gründungswillen; fehlende Fördermaßnahmen bzw. fehlendes „geduldiges Kapital“ für Gründungen mit gesellschaftlichem Mehrwert. Welche Instrumente und Politiken könnten dabei helfen, diese Gründungslücke zu schließen?","Nachwuchswissenschaftler:innen; Studierende; Mitarbeiter:innen von Gründungsbüros an Universitäten; Wirtschaftspolitiker:innen; Innovationshubs, Startup-Ökosysteme und Akzeleratoren","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100393,,
100394,Wie können wir mehr Menschen mit eigener Migrationserfahrung bei der Gründung innovativer Unternehmen unterstützen und so die Attraktivität Deutschlands als Ort innovativer Gründungen erhöhen?,"Menschen mit eigener Migrationserfahrung (first generation migrants) gründen in Deutschland deutlich seltener innovative (Forschung und Entwicklung betreibende) Unternehmen als Menschen ohne Migrationserfahrung. Dadurch gehen potenziell bahnbrechende Geschäftsideen verloren. Zudem können diese Gruppen ihr Potenzial nicht entfalten. Die Gründe sind u.a. Sprachbarrieren, fehlende Offenheit und ein mangelhaftes Informationsangebot. Wie lassen sich die vorliegenden Hindernisse überwinden (z.B. durch besseres Coaching, eine Internationalisierung der Gründungsberatung, Einbindung von Migrant:innen als Role Models in Gründungsökosysteme)? Wie könnte Deutschland seine Attraktivität als Ort innovativer Gründungen für Menschen mit Migrationserfahrung erhöhen?","Studierende mit eigener Migrationserfahrung; gründungswillige Menschen mit eigener Migrationserfahrung; Mitarbeiter:innen von Gründungsbüros an Universitäten; Wirtschaftspolitiker:innen; Innovationshubs, Startup-Ökosysteme und Akzeleratoren","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100394,,
100606,Wie können wir die Bekanntheit und Akzeptanz der elektronischen Patientenakte in der breiten Öffentlichkeit mit kreativen Ansätzen fördern?,,Bürger (breite Öffentlichkeit),"Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100606,,
100610,"Wie können wir Ärztinnen und Ärzte mit kreativen Ansätzen unterstützen, den digitalen Wandel im Gesundheitswesen proaktiv zu begleiten?",,Ärztinnen und Ärzte,"Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100610,,
100582,"Wie können wir eine leicht verständliche, konsistente und qualitätsgesicherte Information der Bürgerinnen und Bürger zum Corona-Virus organisieren?",,Menschen mit geringer Gesundheitskompetenz,"Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100582,,
100570,"Wie können wir die Attraktivität des Pflegeberufs nachhaltig verbessern, um die Abwanderung von Pflegekräften - die durch Corona offenbar beschleunigt wird - zu stoppen und Schulabsolvent:innen dazu zu motivieren, den Beruf zu erlernen bzw. das Fach zu studieren?","Die Verweildauer in den Pflegeberufen ist im Vergleich zu anderen Professionen gering. Hinzu kommt, dass die Teilzeitquote in der Pflege besonders hoch ist. Das Potenzial qualifizierter Personen wird bei weitem nicht ausgeschöpft, weil Arbeitsbedingungen, Bezahlung oder andere Faktoren die dauerhafte und umfassende Berufsausübung unattraktiv machen. Demotivierung, Frustration im Job, Abgänge aus dem Team, weitere Arbeitsverdichtung - das ist die Abwärtsspirale in der Pflege. Trotzdem gibt es Pflege-Arbeitgeber, denen es leichtfällt, Personal zu gewinnen und zu halten. Lassen sich diese positiven Ansätze auf andere Einrichtungen übertragen? Wie lässt sich die Zufriedenheit der Pflegekräfte messen, um Vergleiche (Benchmarkings) anstellen zu können? Reichen dazu die existierenden Onlinetools?","Pflegekräfte in Krankenhäusern, Pflegeheimen oder Pflegediensten, Einrichtungsleitungen, Gewerkschaften, Pflegekammern, Kostenträger (Kassen und Sozialämter)","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100570,,
100560,"Wie können wir Versorgungsmängel (Sicherstellung und Qualität) in der ambulanten Pflege transparent machen, um so Missständen (frühzeitig) entgegenwirken zu können?",,"Pflegebedürftige, Angehörige, Kostenträger (Kranken- und Pflegekassen, Sozialämter)","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100560,,
100573,"Wie können wir erreichen, dass über eine breit angelegte und zielgruppenorientierte Social Media-Kampagne Kreislaufwirtschaft in Kommunen regional in den Fokus gerückt und gesamtgesellschaftlich bearbeitet wird?",,"Kommunen, Wirtschaft, Zivilgesellschaft, Wissenschaft","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100573,,
100406,"Wie können wir erreichen, dass Jugendliche und junge Erwachsene sich verstärkt in Nachhaltigkeitsprozesse vor Ort einbringen können? Wie können zu diesem Zweck adäquate, faktenbasierte Beteiligungsformate bspw. auf Basis des SDG-Portals (www.sdg-portal.de) ausgestaltet sein?","Nachhaltigkeitsprozesse sind Beteiligungsprozesse. Damit ist eine zielgruppenorientierte Kommunikation ein zentrales Element im kommunalen Nachhaltigkeitsmanagement.
Insbesondere beim Thema Klimaschutz hat sich gezeigt: Kommunen können über kontinuierliche und strategische Kommunikationsformate wirksame Fürsprecher für den Klimaschutz sein, indem sie unterschiedliche Zielgruppen in unterschiedlichen Formaten jeweils adäquat adressieren.","Jugendliche und junge Erwachsene, Kommunen","Zivilgesellschaft, inkl. sozialer Sektor",Bertelsmann Stiftung,Nordrhein-Westfalen,33311,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100406,,
100493,"Wie können wir eine ebenenübergreifende Krisenkommunikation sicherstellen, bei der Kommunen, Länder und Bund relevante Informationen direkt für die Bürger*innen verfügbar machen können?","Konkret geht es um die Frage, wie wir als öffentliche Verwaltung eine direkte Krisenkommunikation sicherstellen können, welche Informationen unabhängig der föderalen Ebenen für die Bürger*innen leicht erreichbar an einem zentralen Ort verfügbar macht. Mit dem Projektteam DEalog, welches aus dem WirVsVirus-Hackathon entstanden ist, wurde bereits gemeinsam an einer Lösung für diese Herausforderung gearbeitet. Gerne können sich neue Partner*innen aller föderalen Ebenen und der Zivilgesellschaft melden, die Interesse an der gemeinsamen Zusammenarbeit zur Lösung der beschriebenen Herausforderung haben.",Bürger*innen,Verwaltung & Politik – Länder,Bezirksregierung Arnsberg,Nordrhein-Westfalen,59821,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100493,,
100020,Wie können wir langzeiterkrankte Mitarbeiter zuhause über firmeninterne Neuigkeiten informieren und auch das Betriebliche Eingliederungsmanagement sicherstellen?,"In kleinen und mittleren Unternehmen wird langzeiterkrankten Mitarbeitern (länger als 6 Wochen erkrankt) häufig kein Betriebliches Eingliederungsmanagement (gesetzlich vorgeschrieben) angeboten.
Durch die Corona-Situation hat sich die Situation noch verschlechtert.
Hier ist eine Mitarbeiter-App von Vorteil, mit der alle Mitarbeiter über das persönliche Handy erreicht und im Krankheitsfall auch betreut werden können.","Die Lösungen werden von langzeiterkrankten Mitarbeitern benötigt. Geleistet werden müssen sie von den Unternehmen, die ein Betriebliches Gesundheitsmanagement anbieten müssen.",Wirtschaft,bgm21,Nordrhein-Westfalen,58513,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100020,,
100023,Wie können wir die Distanz zwischen den Generationen verringern? Die Distanz vergrößert sich nicht nur in Anzahl und Alter sondern auch in Bezug auf die technologische Entwicklung und die Kompetenz im Umgang mit digitalen Medien sowie durch die aktuelle Pandemie. Dies kann den gesellschaftlichen Zusammenhalt empfindlich stören.,"Bei der Bundestagswahl in 2017 gab weitaus mehr Wähler*innen 65+ als jüngere. Es ist anzunehmen, dass die Bedürfnisse und Wünsche der älteren Generation nicht dieselben sind, wie die der Jüngeren. Nur in der Begegnung von Alt und Jung können sich die Generationen über ihre Unterschiedlichkeit und ihre Gemeinsamkeiten verständigen. Erst dann zeigt sich, wie sehr beide Generationen voneinander profitieren können und welche Potenziale im Zusammenwirken liegen. In vielen Kommunen fehlen Möglichkeiten analoger wie auch digitaler Begegnungen der Generationen. Hier braucht es Lösungen, die für beide Generationen attraktiv sind. Gerade die ältere Generation benötigt Wissen und Kompetenz im Umgang mit digitalen Medien. Mit der Verringerung der Distanz der Generationen ist ein wesentlicher Grundstein gelegt, um den Herausforderungen der demografischen Entwicklung konstruktiv zu begegnen.","Kommunen, z.B. Beauftragte für Demografie, Engagement oder kommunale Entwicklung","Zivilgesellschaft, inkl. sozialer Sektor",Bildungscent e.V.,Berlin,10999,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100023,,
100283,"Wie können wir Lehrern die Möglichkeit geben, ihnen Erfahrungsräume eröffnen, um sich gezielt weiterzuentwickeln, zu inspirierenden Persönlichkeiten?","Wir möchten keine Lösungen vorgeben, sondern Raum schaffen um Lehrern den Blick über den eigenen Tellerrand gezielt zu ermöglichen.","Lehrer, Pädagogen, Schulleiter","Zivilgesellschaft, inkl. sozialer Sektor",Bildungsgarage,Hamburg,22081,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100283,,
100734,"Wie können wir für sogenannte ""24h-Betreuungskräfte"" in der häuslichen Betreuung die Arbeits- und Lebenssituation in Deutschland deutlich verbessern und einen digitalen Raum entwickeln, der diese vernetzt, ihnen geschützte Kommunikation und praktische Hilfe bietet?",,"Primär die Betreuungs-/Pflegekräfte aus dem Ausland; von solcher Art prekärer Arbeitsverhältnisse sind weitere Branchen betroffen (Paketzustelldienste, Logistikdienste, Fleischverarbeitungsgewerbe, Erntearbeit) 600.000-800.000 Personen/Jahr","Zivilgesellschaft, inkl. sozialer Sektor",Bistum Aachen,Nordrhein-Westfalen,52062,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100734,,
100074,"Wie können wir Pionier:innen dazu motivieren sich in unseren Planungsprozess mit einzubringen (auch monetär) und Flächen anzueignen, ohne dass wir vergessen bestimmte Akteursgruppen außen vor zu lassen und ohne dass wir (momentan) eine langfristige Perspektive anbieten können?","Mehrere leerstehende Fabrikhallen prägen das nordwestliche Zanders-Areal in Bergisch Gladbach – riesige Kubaturen, die zum Teil schwer bis gar nicht beheizbar sind. Auch die Bausubstanz ist in die Jahre gekommen und erfordert technische Sanierungen, um die Hallen sicher nutzen zu können. Des weiteren befindet sich -zum jetzigen Zeitpunkt- eine produzierende Papierfabrik angrenzend an die Hallen, weshalb die neuen Nutzungen aus Planungsrechtlicher Sicht nicht gänzlich frei entwickelt werden können. Dennoch ist ein Ziel des Projekts Zanders Innenstadt, diese Fläche gemeinsam mit Pionier:innen zu entwickeln und sich zu einer Art Stadtlabor zu etablieren.","Verwaltung, Projektentwickler:innen",Verwaltung & Politik – Kommunen,BM-15 Projektgruppe Zanders Innenstadt (Stadt Bergisch Gladbach),Nordrhein-Westfalen,51465,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100074,,
100507,Wie können wir einen multimodalen Routenplaner für Großraum- und Schwertransporte kurzfristig bereitstellen?,"Bislang gibt es keinen multimodalen Routenplaner für Straße, Schiene und Wasserstraße für Großraum- und Schwertransporte (GST). Dieser ist allerdings erforderlich, um tatsächlich auch automatisiert mögliche Transportwege von GST zu prüfen. Im Verfahrensmanagement Großraum- und Schwertransporte (VEMAGS) steht ein routingfähiges Straßennetz auf Basis der ""Here Straßennetzdaten BRD""  im Prototyp bereit. Die Wasserstraße verfügt auch über ein routingfähiges digitales Verkehrsnetz der Bundeswasserstraßen.","Unternehmen, die GST transportieren möchten und Genehmigungsbehörden",Verwaltung & Politik – Bund,BMVI,Nordrhein-Westfalen,53175,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100507,,
100508,"Wie können wir multimodale Routingoptionen für Großraum- und Schwertransporte unter Berücksichtigung spezieller Präferenzen (Wasserstraße und Schiene bevorzugt, Straße im Vor- und Nachlauf) vergleichend aufzeigen?","Unternehmen, die Großraum- und Schwerlast transportieren wollen, nutzen häufig die Straße, weil sie dieses schon immer genutzt haben. Bei mehr als 250 km benötigt man für die Straßennutzung eine Ausnahmegenehmigung und muss nachweisen, dass der GST nicht über die alternativen Verkehrsträge machbar ist und unzumutbare Mehrkosten entstehen würden. In der Realität erfolgt dieser Nachweis eigentlich nicht. Ein Vergleich bzgl. Klima (CO2), Transportdauer, Preis zwischen den Verkehrsträgern für den GST erfolgt nicht.","Unternehmen, die GST transportieren möchten.",Verwaltung & Politik – Bund,BMVI,Nordrhein-Westfalen,53175,https://projecttogether.typeform.com/to/J2y3d590#herausforderungsid=100508,,
